item_id,word_id,sense_id,headword,pinyin_tag,pinyin,word_type,definition,pos_tag,pos,sense_tag,sense,meaning,example,character_count,homograph,polyseme,XDHYCD,XDHYDCD,HYDCD,Oxford,Baidu,Online,ValenceArousal_Valence_Mean,ValenceArousal_Valence_SD,ValenceArousal_Arousal_Mean,ValenceArousal_Arousal_SD,ValenceArousal_Men_Valence_Mean,ValenceArousal_Men_Valence_SD,ValenceArousal_Women_Valence_Mean,ValenceArousal_Women_Valence_SD,ValenceArousal_Men_Arousal_Mean,ValenceArousal_Men_Arousal_SD,ValenceArousal_Women_Arousal_Mean,ValenceArousal_Women_Arousal_SD,SUBTLEXWord_WCount,SUBTLEXWord_W/million,SUBTLEXWord_logW,SUBTLEXWord_W-CD,SUBTLEXWord_W-CD%,SUBTLEXWord_logW-CD,MELD_RT,MELD_RTSD,MELD_zRT,MELD_zRTSD,MELD_ERR,Concreteness_Mean of Valid Ratings,Concreteness_SD of Valid Ratings,CLD_Phonemes,CLD_Frequency,CLD_C1Frequency,CLD_C2Frequency,CLD_FrequencyRaw,CLD_C1FrequencyRaw,CLD_C2FrequencyRaw,CLD_FrequencyWeibo,CLD_C1FrequencyWeibo,CLD_C2FrequencyWeibo,CLD_FrequencyRawWeibo,CLD_C1FrequencyRawWeibo,CLD_C2FrequencyRawWeibo,CLD_PhonologicalFrequency,CLD_C1PhonologicalFrequency,CLD_C2PhonologicalFrequency,CLD_C1FamilySize,CLD_C2FamilySize,CLD_C1FamilyFrequency,CLD_C2FamilyFrequency,CLD_Strokes,CLD_C1Strokes,CLD_C2Strokes,CLD_C1Pixels,CLD_C2Pixels,CLD_C1PictureSize,CLD_C2PictureSize,CLD_C1OLDPixels,CLD_C2OLDPixels,CLD_PhonologicalN,CLD_C1PhonologicalN,CLD_C2PhonologicalN,CLD_PLD,CLD_C1PLD,CLD_C2PLD,CLD_MeanPhonemeFrequency,CLD_C1MeanPhonemeFrequency,CLD_C2MeanPhonemeFrequency,CLD_MinPhonemeFrequency,CLD_C1MinPhonemeFrequency,CLD_C2MinPhonemeFrequency,CLD_MaxPhonemeFrequency,CLD_C1MaxPhonemeFrequency,CLD_C2MaxPhonemeFrequency,CLD_C1InitialPhonemeFrequency,CLD_C2InitialPhonemeFrequency,CLD_MeanDiphoneFrequency,CLD_MinDiphoneFrequency,CLD_MaxDiphoneFrequency,CLD_C1Friends,CLD_C2Friends,CLD_C1HomographTokens,CLD_C2HomographTokens,CLD_C1FriendsFrequency,CLD_C2FriendsFrequency,CLD_C1HomophonesFrequency,CLD_C2HomophonesFrequency,CLD_C1Entropy,CLD_C1BackwardEntropy,CLD_PMI,CLD_PSPMI,CLD_TScore,CLD_PSTScore,CLD_C1ConditionalProbability,CLD_C1BackwardConditionalProbability,CLD_EntropyCharacterFrequencies,AoA_Mean,AoA_SD
1,1,1,丈夫,zhàngfū,zhàngfū,1,"<entry id=""65532""><hwg><hw>丈夫</hw><pinyin>zhàngfū</pinyin></hwg><def><ps>名</ps>成年男子：<ex>伟～｜～气。</ex></def>",名词。,名词,成年男子。,成年男子。,名词。成年男子。,他从小就展现出大丈夫的勇气和坚韧，无论遇到什么困难都从不退缩。,41,1.0,,0,,,,1.0,0,0.42,0.81,1.83,1.11,0.54,0.88,0.31,0.75,1.67,0.87,1.93,1.27,6115,182.28,3.7864,2216,35.5,3.3456,692.62075,357.615078594128,-0.510040733775666,1.02550241774884,2.4390243902439,1.461538,0.706018,5,69.4885,58.5728,290.7901,9374,11861,58885,32.14,36.1143,225.5491,3259,5623,35118,69.4885,316.8421,649.5256,12,61,80.2743,327.9837,7,3,4,2788,2843,2723,2314,2434.1,1991.65,0,23,11,2.35,1.0,1.4,150239.7672,177646.7803,109129.2476,25493.1801,62190.2001,25493.1801,321278.7324,321278.7324,192765.315,62190.2001,25493.1801,18804.0697,2113.9733,60500.3632,12,8,0,53,11.06,76.5901,236.2936,503.447,0.0747,2.8821,10.0051,10.8385,266.9613,356.5147,0.99090909,0.38419607,0.6523000000000000,11.7894736842105,4.837112859828
2,1,2,丈夫,zhàng·fu,zhàngfu,1,"<entry id=""65533""><hwg><hw>丈夫</hw><pinyin>zhàng·fu</pinyin></hwg><def><ps>名</ps>男女两人结婚后，男子是女子的丈夫。</def>",名词。,名词,男女两人结婚后，男子是女子的丈夫。,男女两人结婚后，男子是女子的丈夫。,名词。男女两人结婚后，男子是女子的丈夫。,她的丈夫几次激励她说：“勇敢点吧，你该作大众的母亲，不要作一个小孩的母亲。”,60,,,0,,1.0,,,0,0.42,0.81,1.83,1.11,0.54,0.88,0.31,0.75,1.67,0.87,1.93,1.27,6115,182.28,3.7864,2216,35.5,3.3456,692.62075,357.615078594128,-0.510040733775666,1.02550241774884,2.4390243902439,1.461538,0.706018,5,69.4885,58.5728,290.7901,9374,11861,58885,32.14,36.1143,225.5491,3259,5623,35118,69.4885,316.8421,649.5256,12,61,80.2743,327.9837,7,3,4,2788,2843,2723,2314,2434.1,1991.65,0,23,11,2.35,1.0,1.4,150239.7672,177646.7803,109129.2476,25493.1801,62190.2001,25493.1801,321278.7324,321278.7324,192765.315,62190.2001,25493.1801,18804.0697,2113.9733,60500.3632,12,8,0,53,11.06,76.5901,236.2936,503.447,0.0747,2.8821,10.0051,10.8385,266.9613,356.5147,0.99090909,0.38419607,0.6523000000000000,11.7894736842105,4.837112859828
3,2,1,上任,shàng//rèn,shàngrèn,1,"<entry id=""45098""><hwg><hw>上任<sup>1</sup></hw><pinyin>shàng//rèn</pinyin></hwg><def><ps>动</ps>指官吏就职：<ex>走马～。</ex></def>",动词。,动词,指官吏就职。,指官吏就职。,动词。指官吏就职。,走马上任。,16,,,1,,,,,0,0.89,0.7,2.05,1.17,0.79,0.8,1.0,0.58,2.6,0.55,1.88,1.27,89,2.65,1.9494,75,1.2,1.8751,744.591538461538,242.55004132125,-0.328167253647534,0.772840872449661,2.5,2.653846,1.198075,6,1.4455,4716.721,580.0741,195,955136,117465,1.0454,4615.8317,533.8215,106,718685,83116,1.4455,6415.1149,1663.7213,285,70,3394.0252,773.3432,9,3,6,1854,2983,840,2261,1981.7,2084.45,4,23,14,1.8,1.0,1.2,151502.2004,186795.8636,116208.5372,27529.8295,89637.45,27529.8295,321278.7324,321278.7324,231562.6835,89637.45,27529.8295,29375.1446,1683.7064,60500.3632,285,71,2,0,6230.2076,818.7472,183.4618,843.5285,4.6542,2.6951,-2.3323,0.967,-2.1624,0.8211,0.00098328,0.00859826,0.4984,12.2857142857143,2.98568010916872
4,2,2,上任,shàngrèn,shàngrèn,1,"<entry id=""45099""><hwg><hw>上任<sup>2</sup></hw><pinyin>shàngrèn</pinyin></hwg><def><ps>名</ps>称前一任的官吏。</def>",名词。,名词,称前一任的官吏。,称前一任的官吏。,名词。称前一任的官吏。,张其昌已被选为这个乡的乡长，且看他如何收拾上任留下的烂摊子。,43,,,0,1.0,,,,0,0.89,0.7,2.05,1.17,0.79,0.8,1.0,0.58,2.6,0.55,1.88,1.27,89,2.65,1.9494,75,1.2,1.8751,744.591538461538,242.55004132125,-0.328167253647534,0.772840872449661,2.5,2.653846,1.198075,6,1.4455,4716.721,580.0741,195,955136,117465,1.0454,4615.8317,533.8215,106,718685,83116,1.4455,6415.1149,1663.7213,285,70,3394.0252,773.3432,9,3,6,1854,2983,840,2261,1981.7,2084.45,4,23,14,1.8,1.0,1.2,151502.2004,186795.8636,116208.5372,27529.8295,89637.45,27529.8295,321278.7324,321278.7324,231562.6835,89637.45,27529.8295,29375.1446,1683.7064,60500.3632,285,71,2,0,6230.2076,818.7472,183.4618,843.5285,4.6542,2.6951,-2.3323,0.967,-2.1624,0.8211,0.00098328,0.00859826,0.4984,12.2857142857143,2.98568010916872
5,3,1,上天,shàng//tiān,shàngtiān,1,"<entry id=""45131""><hwg><hw>上天<sup>1</sup></hw><pinyin>shàng//tiān</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 上升到天空：<ex>人造卫星～。</ex></def><def><num>❷</num> 迷信的人指到神佛仙人所在的地方。也用作婉辞，指人死亡。</def>",动词。,动词,上升到天空。,上升到天空。,动词。上升到天空。,人造卫星上天。,18,,1.0,1,,,,,0,0.22,0.9,2.17,1.31,0.33,0.78,0.09,1.04,2.36,1.36,2.0,1.29,131,3.91,2.1173,125,2.0,2.0969,754.9545,264.309874869612,-0.298283539413277,0.672891913976602,0.0,3.52,1.122497,7,17.2128,4716.721,5558.4494,2322,955136,1125586,21.6075,4615.8317,6413.1856,2191,718685,998533,17.2128,6415.1149,7790.6597,285,294,3394.0252,4875.619,7,3,4,1854,2842,840,2195,1981.7,2055.3,2,23,7,2.15,1.0,1.65,150661.8617,186795.8636,123561.3603,42095.2706,89637.45,42095.2706,321278.7324,321278.7324,231562.6835,89637.45,42095.2706,27535.404,1877.4426,60500.3632,285,295,2,0,6214.4403,7722.9577,183.4618,50.4893,4.6542,2.8293,-1.3964,0.1337,-4.1744,0.3846,0.01170859,0.00482558,0.9952,10.7222222222222,3.86242160484777
6,3,2,上天,shàng//tiān,shàngtiān,1,"<entry id=""45131""><hwg><hw>上天<sup>1</sup></hw><pinyin>shàng//tiān</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 上升到天空：<ex>人造卫星～。</ex></def><def><num>❷</num> 迷信的人指到神佛仙人所在的地方。也用作婉辞，指人死亡。</def>",动词。,动词,迷信的人指到神佛仙人所在的地方。也用作婉辞，指人死亡。,迷信的人指到神佛仙人所在的地方。也用作婉辞，指人死亡。,动词。迷信的人指到神佛仙人所在的地方。也用作婉辞，指人死亡。,你细细儿一想就知道我这话并不算错，要他们通过比上天还难。,60,,,0,1.0,,,,0,0.22,0.9,2.17,1.31,0.33,0.78,0.09,1.04,2.36,1.36,2.0,1.29,131,3.91,2.1173,125,2.0,2.0969,754.9545,264.309874869612,-0.298283539413277,0.672891913976602,0.0,3.52,1.122497,7,17.2128,4716.721,5558.4494,2322,955136,1125586,21.6075,4615.8317,6413.1856,2191,718685,998533,17.2128,6415.1149,7790.6597,285,294,3394.0252,4875.619,7,3,4,1854,2842,840,2195,1981.7,2055.3,2,23,7,2.15,1.0,1.65,150661.8617,186795.8636,123561.3603,42095.2706,89637.45,42095.2706,321278.7324,321278.7324,231562.6835,89637.45,42095.2706,27535.404,1877.4426,60500.3632,285,295,2,0,6214.4403,7722.9577,183.4618,50.4893,4.6542,2.8293,-1.3964,0.1337,-4.1744,0.3846,0.01170859,0.00482558,0.9952,10.7222222222222,3.86242160484777
7,3,3,上天,shàngtiān,shàngtiān,1,"<entry id=""45132""><hwg><hw>上天<sup>2</sup></hw><pinyin>shàngtiān</pinyin></hwg><def><ps>名</ps>迷信的人指主宰自然和人类的天：<ex>～保佑。</ex></def>",名词。,名词,迷信的人指主宰自然和人类的天。,迷信的人指主宰自然和人类的天。,名词。迷信的人指主宰自然和人类的天。,上天保佑。,25,,,1,,,,,0,0.22,0.9,2.17,1.31,0.33,0.78,0.09,1.04,2.36,1.36,2.0,1.29,131,3.91,2.1173,125,2.0,2.0969,754.9545,264.309874869612,-0.298283539413277,0.672891913976602,0.0,3.52,1.122497,7,17.2128,4716.721,5558.4494,2322,955136,1125586,21.6075,4615.8317,6413.1856,2191,718685,998533,17.2128,6415.1149,7790.6597,285,294,3394.0252,4875.619,7,3,4,1854,2842,840,2195,1981.7,2055.3,2,23,7,2.15,1.0,1.65,150661.8617,186795.8636,123561.3603,42095.2706,89637.45,42095.2706,321278.7324,321278.7324,231562.6835,89637.45,42095.2706,27535.404,1877.4426,60500.3632,285,295,2,0,6214.4403,7722.9577,183.4618,50.4893,4.6542,2.8293,-1.3964,0.1337,-4.1744,0.3846,0.01170859,0.00482558,0.9952,10.7222222222222,3.86242160484777
8,4,1,上手,shàngshǒu,shàngshǒu,1,"<entry id=""45113""><hwg><hw>上手<sup>1</sup></hw><pinyin>shàngshǒu</pinyin></hwg><def><num>❶</num> （～<small>儿</small>）<ps>名</ps>上家。</def><def><num>❷</num> 同“<a href=""entry://上首"">上首</a>”。</def>",名词。,名词,（上手儿）上家。,上家。亦作上手儿。,名词。上家。亦作上手儿。,上手出了这张牌，我就知道我要赢了。,31,,,0,1.0,,,,0,0.48,0.65,2.04,1.02,0.5,0.55,0.47,0.7,1.83,0.94,2.27,1.1,59,1.76,1.7709,51,0.82,1.7076,821.573846153846,279.816472490315,-0.0148855027958701,0.86005464885413,4.8780487804878,3.416667,1.100066,6,4.9741,4716.721,1853.4568,671,955136,375325,6.0355,4615.8317,1924.9647,612,718685,299717,5.0334,6415.1149,3014.8703,285,297,3394.0252,2004.4403,7,3,4,1854,2938,840,1750,1981.7,2159.1,3,23,15,1.85,1.0,1.15,164566.7692,186795.8636,142337.6748,89637.45,89637.45,89637.45,321278.7324,321278.7324,192765.315,89637.45,89637.45,28659.3462,3803.6694,62543.4099,285,299,2,0,6226.679,2475.4411,183.4618,534.4552,4.6542,5.4691,-1.889,0.464,-3.1333,0.7204,0.00338349,0.00606713,0.8583,13.6666666666667,4.97326184041554
9,4,2,上手,shàng//shǒu,shàngshǒu,1,"<entry id=""45114""><hwg><hw>上手<sup>2</sup></hw><pinyin>shàng//shǒu</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 〈方〉动手：<ex>这事我一个人干就行了，你们就不用～了。</ex></def><def><num>❷</num> 开始：<ex>今天这场球一～就打得很顺利。</ex></def>",动词。,动词,开始。,开始。,动词。开始。,今天这场球一上手就打得很顺利。,23,,,1,,,,,0,0.48,0.65,2.04,1.02,0.5,0.55,0.47,0.7,1.83,0.94,2.27,1.1,59,1.76,1.7709,51,0.82,1.7076,821.573846153846,279.816472490315,-0.0148855027958701,0.86005464885413,4.8780487804878,3.416667,1.100066,6,4.9741,4716.721,1853.4568,671,955136,375325,6.0355,4615.8317,1924.9647,612,718685,299717,5.0334,6415.1149,3014.8703,285,297,3394.0252,2004.4403,7,3,4,1854,2938,840,1750,1981.7,2159.1,3,23,15,1.85,1.0,1.15,164566.7692,186795.8636,142337.6748,89637.45,89637.45,89637.45,321278.7324,321278.7324,192765.315,89637.45,89637.45,28659.3462,3803.6694,62543.4099,285,299,2,0,6226.679,2475.4411,183.4618,534.4552,4.6542,5.4691,-1.889,0.464,-3.1333,0.7204,0.00338349,0.00606713,0.8583,13.6666666666667,4.97326184041554
10,5,1,上报,shàng//bào,shàngbào,1,"<entry id=""45003""><hwg><hw>上报<sup>1</sup></hw><pinyin>shàng//bào</pinyin></hwg><def><ps>动</ps>刊登在报纸上：<ex>老张的模范事迹上了报了。</ex></def>",动词。,动词,刊登在报纸上。,刊登在报纸上。,动词。刊登在报纸上。,老张的模范事迹上了报了。,24,,,1,,,,,0,0.12,1.05,2.24,1.2,0.25,0.62,0.0,1.35,2.55,1.04,2.0,1.3,148,4.41,2.1703,117,1.87,2.0682,831.802142857143,301.199147154362,0.119285896296397,1.30142352086118,0.0,2.703704,1.137298,6,1.7569,4716.721,386.321,237,955136,78230,0.8777,4615.8317,361.7598,89,718685,56326,1.7569,6415.1149,1335.8117,285,139,3394.0252,485.0778,10,3,7,1854,4081,840,3426,1981.7,2387.85,2,23,22,1.85,1.0,1.0,189718.0813,186795.8636,192640.299,63876.8495,89637.45,63876.8495,321278.7324,321278.7324,321278.7324,89637.45,63876.8495,32753.2765,2477.6205,70491.8829,285,139,2,0,6229.8962,521.6383,183.4618,812.4166,4.6542,4.4052,-1.3754,1.0725,-1.312,1.0082,0.00119506,0.00925022,0.3869,13.2105263157895,4.67355381515586
