subject,item_id,headword,meaning,example,Response,RT_ms,anchor,list
19,202,烟花,名词。旧时指妓女。,沦为烟花。,6,3429.5,exp2,List1
19,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,5144.199999997043,exp2,List1
19,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2413.699999991106,exp2,List1
19,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1612.70000000298,exp2,List1
19,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2054.300000003073,exp2,List1
20,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3804.200000023848,exp2,List2
20,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,3731.800000035786,exp2,List2
20,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3340.400000035763,exp2,List2
20,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,4,2824.500000023749,exp2,List2
20,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2418.600000000093,exp2,List2
21,202,烟花,名词。旧时指妓女。,沦为烟花。,6,581.2000000715489,exp2,List1
21,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,8633.60000004759,exp2,List1
21,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2298.200000071432,exp2,List1
21,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2130.300000047777,exp2,List1
21,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2730.800000024028,exp2,List1
22,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,9248.600000071514,exp2,List2
22,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,8747.400000023888,exp2,List2
22,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3414.699999999953,exp2,List2
22,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1597.200000047684,exp2,List2
22,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,6,2863.900000071619,exp2,List2
23,202,烟花,名词。旧时指妓女。,沦为烟花。,5,492.6999999998661,exp2,List1
