Subject,Word,Sentence1,Sentence2,Sense,Context,POSWord,Stimulus_RT,Stimulus_RESP,Trial,Correctness,correctness,Accuracy,AoA_word,Word_logW,Word_logW_CD,Word_W_million,CLD_Frequency,PMI,PSPMI,TScore,PSTScore,EntropyCharacterFrequencies,SentencePair_id,meaning1,meaning2,meaning1_id,meaning2_id,Sentence1_meaning_type,Sentence2_meaning_type,AoA_meaning1,AoA_meaning2,AoA_rating_diff,AoA_rating_diff_abs,AoA_rating_mean
1,金星,遥远的金星也是天文学家们研究的对象。,帽子上的金星是退伍军人的荣誉象征。,Different,Different,Same,2862,1,37,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,199,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense1,sense2,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,象征着名誉的金星吸引了他的目光。,象征着银河的金星吸引了他的目光。,Different,Same,Same,6214,3,104,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,198,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense2,sense1,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,他一直想要买一个金星奖杯。,他一直想要买一个金星模型。,Different,Same,Same,4461,6,165,Incorrect,0,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,197,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense1,sense2,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,那位老兵胸前佩戴者好几颗金星。,奖牌上的金星象征着运动员的精神。,Same,Different,Same,2068,7,235,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,196,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense2,sense2,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,这枚勋章的表面上刻着荣耀的金星。,这枚勋章的表面上刻着褪色的金星。,Same,Same,Same,6464,7,297,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,195,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense2,sense2,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,他们成功用望远镜拍摄到了浩大的金星。,他们的天体研究目标选择了金星。,Same,Different,Same,1539,7,360,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,194,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense1,sense1,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,登陆金星是我们人类伟大的梦想之一。,探索金星是我们人类伟大的梦想之一。,Same,Same,Same,2000,7,421,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,193,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense1,sense1,4.74,4.2,0.54,0.54,4.470000000000001
1,金星,他因为战功卓越而被授予了金星。,金星隐藏的奥秘也代表了宇宙的神秘。,Different,Different,Same,2241,1,487,Correct,1,0.873046875,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,200,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense2,sense1,4.74,4.2,0.54,0.54,4.470000000000001
10,金星,登陆金星是我们人类伟大的梦想之一。,探索金星是我们人类伟大的梦想之一。,Same,Same,Same,3349,7,53,Correct,1,0.90234375,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,193,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense1,sense1,4.74,4.2,0.54,0.54,4.470000000000001
10,金星,他因为战功卓越而被授予了金星。,金星隐藏的奥秘也代表了宇宙的神秘。,Different,Different,Same,3155,1,115,Correct,1,0.90234375,14.5714285714286,1.5563,1.4472,1.07,2.5204,1.1606,2.8665,1.3119,3.6994,0.9999,200,名词。太阳系八大行星之一，按离太阳由近而远的次序计为第二颗,名词。金黄色的五角星,1389,1390,sense2,sense1,4.74,4.2,0.54,0.54,4.470000000000001
