item_id,word_id,sense_id,headword,pinyin_tag,pinyin,definition,pos_tag,pos,sense_tag,sense,meaning,example,character_count,homograph,polyseme,XDHYCD,XDHYDCD,HYDCD,Oxford,Baidu,Online
1,1,1,一晃,yīhuǎng,yīhuǎng,"<entry id=""60637""><hwg><hw>一晃</hw><pinyin>yīhuǎng</pinyin></hwg><def><ps>动</ps>很快地一闪：<ex>窗外有个人影<small>儿</small>，～就不见了。</ex></def>",动词。,动词,很快地一闪。,很快地一闪。,动词。很快地一闪。,窗外有个人影儿，一晃就不见了。,26,1,0,1.0,,,,,
2,1,2,一晃,yīhuàng,yīhuàng,"<entry id=""60638""><hwg><hw>一晃</hw><pinyin>yīhuàng</pinyin></hwg><def><ps>动</ps>表示时间很快过去（有不知不觉的意思）：<ex>～就是五年，孩子都长这么大了。</ex></def>",动词。,动词,表示时间很快过去（有不知不觉的意思）。,表示时间很快过去（有不知不觉的意思）。,动词。表示时间很快过去（有不知不觉的意思）。,一晃就是五年，孩子都长这么大了。,40,1,0,1.0,,,,,
3,2,1,一线,yīxiàn,yīxiàn,"<entry id=""60802""><hwg><hw>一线<sup>1</sup></hw><pinyin>yīxiàn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 战争的最前线。</def><def><num>❷</num> 第一线：<ex>深入车间慰问～工人。</ex></def>",名词。,名词,战争的最前线。,战争的最前线。,名词。战争的最前线。,一线作战部队。,19,0,1,,1.0,,,,
4,2,2,一线,yīxiàn,yīxiàn,"<entry id=""60802""><hwg><hw>一线<sup>1</sup></hw><pinyin>yīxiàn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 战争的最前线。</def><def><num>❷</num> 第一线：<ex>深入车间慰问～工人。</ex></def>",名词。,名词,第一线。,第一线。,名词。第一线。,深入车间慰问一线工人。,20,0,1,1.0,,,,,
5,2,3,一线,yīxiàn,yīxiàn,"<entry id=""60803""><hwg><hw>一线<sup>2</sup></hw><pinyin>yīxiàn</pinyin></hwg><def>数量词。形容极其细微：<ex>～阳光｜～光明｜～希望｜～生机。</ex></def>",数量词。,数量词,形容极其细微。,形容极其细微。,数量词。形容极其细微。,一线生机。,18,0,0,1.0,,,,,
6,3,1,丈人,zhàngrén,zhàngrén,"<entry id=""65537""><hwg><hw>丈人</hw><pinyin>zhàngrén</pinyin></hwg><def><ps>名</ps>古时对老年男子的尊称。</def>",名词。,名词,古时对老年男子的尊称。,古时对老年男子的尊称。,名词。古时对老年男子的尊称。,在古代社会，丈人常常扮演着调解纷争、维护和谐的重要角色。,44,1,0,,,,,1.0,
7,3,2,丈人,zhàng·ren,zhàngren,"<entry id=""65538""><hwg><hw>丈人</hw><pinyin>zhàng·ren</pinyin></hwg><def><ps>名</ps>岳父。</def>",名词。,名词,岳父。,岳父。,名词。岳父。,你丈人这样困难，做女婿的替丈人还点债，不是应当的吗？,34,1,0,,1.0,,,,
8,4,1,上去,shàng//·qù,shàngqù,"<entry id=""45095""><hwg><hw>上去</hw><pinyin>shàng//·qù</pinyin></hwg><def><ps>动</ps>由低处到高处去：<ex>蹬着梯子～。</ex></def>",动词。,动词,由低处到高处去。,由低处到高处去。,动词。由低处到高处去。,蹬着梯子上去。,20,0,0,1.0,,,,,
9,4,2,上去,//·shàng//·qù,shàngqù,"<entry id=""45096""><hwg><hw>上去</hw><pinyin>//·shàng//·qù</pinyin></hwg><def><ps>动</ps>趋向动词。用在动词后，表示由低处向高处，或由近处向远处，或由主体向对象：<ex>顺着山坡爬～｜大家连忙迎～｜把所有的力量都使～了。</ex></def>",动词；趋向动词。,动词,用在动词后，表示由低处向高处，或由近处向远处，或由主体向对象。,用在动词后，表示由低处向高处，或由近处向远处，或由主体向对象。,动词；趋向动词。用在动词后，表示由低处向高处，或由近处向远处，或由主体向对象。,顺着山坡爬上去。,49,0,0,1.0,,,,,
10,5,1,上头,shàng//tóu,shàngtóu,"<entry id=""45134""><hwg><hw>上头</hw><pinyin>shàng//tóu</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 旧时女子未出嫁时梳辫子，临出嫁才把头发拢上去结成发髻，叫作上头。</def><def><num>❷</num> 指喝酒后引起头晕、头疼：<ex>绍兴酒喝了不～。</ex></def>",动词。,动词,旧时女子未出嫁时梳辫子，临出嫁才把头发拢上去结成发髻，叫作上头。,旧时女子未出嫁时梳辫子，临出嫁才把头发拢上去结成发髻，叫作上头。,动词。旧时女子未出嫁时梳辫子，临出嫁才把头发拢上去结成发髻，叫作上头。,在古老的江南水乡，当李家的小女儿即将出嫁时，家中长辈按照传统习俗为她上头。,74,1,1,,,,,1.0,
11,5,2,上头,shàng//tóu,shàngtóu,"<entry id=""45134""><hwg><hw>上头</hw><pinyin>shàng//tóu</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 旧时女子未出嫁时梳辫子，临出嫁才把头发拢上去结成发髻，叫作上头。</def><def><num>❷</num> 指喝酒后引起头晕、头疼：<ex>绍兴酒喝了不～。</ex></def>",动词。,动词,指喝酒后引起头晕、头疼。,指喝酒后引起头晕、头疼。,动词。指喝酒后引起头晕、头疼。,绍兴酒喝了不上头。,26,1,1,1.0,,,,,
12,5,3,上头,shàng·tou,shàngtou,"<entry id=""45135""><hwg><hw>上头</hw><pinyin>shàng·tou</pinyin></hwg><def><ps>名</ps>方位词。上面。</def>",名词；方位词。,名词,上面。,上面。,名词；方位词。上面。,当心上头东西砸下来。,22,1,0,,1.0,,,1.0,
13,6,1,上来,shànglái,shànglái,"<entry id=""45077""><hwg><hw>上来</hw><pinyin>shànglái</pinyin></hwg><def><num>❶</num> <ps>动</ps>开始；起头：<ex>一～就很卖力气｜～先少说话。</ex></def><def><num>❷</num> 〈书〉<ps>名</ps>方位词。上面；以上（用于总括前面的叙述）：<ex>～所言，尚祈先生三思。</ex></def>",动词。,动词,开始；起头。,开始；起头。,动词。开始；起头。,一上来就很卖力气。,20,0,1,1.0,,,,,
14,6,2,上来,shànglái,shànglái,"<entry id=""45077""><hwg><hw>上来</hw><pinyin>shànglái</pinyin></hwg><def><num>❶</num> <ps>动</ps>开始；起头：<ex>一～就很卖力气｜～先少说话。</ex></def><def><num>❷</num> 〈书〉<ps>名</ps>方位词。上面；以上（用于总括前面的叙述）：<ex>～所言，尚祈先生三思。</ex></def>",名词。,名词,〈书〉方位词。上面；以上（用于总括前面的叙述）。,〈书面语〉方位词。上面；以上（用于总括前面的叙述）。,名词。〈书面语〉方位词。上面；以上（用于总括前面的叙述）。,上来所言，尚祈先生三思。,43,0,1,1.0,,,,,
15,6,3,上来,shàng//·lái,shànglái,"<entry id=""45078""><hwg><hw>上来</hw><pinyin>shàng//·lái</pinyin></hwg><def><ps>动</ps>由低处到高处来：<ex>他在楼下看书，半天没～。</ex></def>",动词。,动词,由低处到高处来。,由低处到高处来。,动词。由低处到高处来。,他在楼下看书，半天没上来。,26,0,0,1.0,,,,,
16,6,4,上来,//·shàng//·lái,shànglái,"<entry id=""45079""><hwg><hw>上来</hw><pinyin>//·shàng//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由低处到高处或由远处到近处来：<ex>部队从两路增援～｜端上饭来。</ex></def><def><num>❷</num> 用在动词后，表示成功地完成某事：<ex>那首诗他念了两遍就背～了｜这个问题你一定答得～。</ex></def><def><num>❸</num> 〈方〉用在形容词后面，表示程度的增加：<ex>天色黑～了｜中秋节后，天气慢慢凉～。</ex></def>",动词；趋向动词。,动词,用在动词后，表示由低处到高处或由远处到近处来。,用在动词后，表示由低处到高处或由远处到近处来。,动词；趋向动词。用在动词后，表示由低处到高处或由远处到近处来。,部队从两路增援上来。,43,0,1,1.0,,,,,
17,6,5,上来,//·shàng//·lái,shànglái,"<entry id=""45079""><hwg><hw>上来</hw><pinyin>//·shàng//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由低处到高处或由远处到近处来：<ex>部队从两路增援～｜端上饭来。</ex></def><def><num>❷</num> 用在动词后，表示成功地完成某事：<ex>那首诗他念了两遍就背～了｜这个问题你一定答得～。</ex></def><def><num>❸</num> 〈方〉用在形容词后面，表示程度的增加：<ex>天色黑～了｜中秋节后，天气慢慢凉～。</ex></def>",动词；趋向动词。,动词,用在动词后，表示成功地完成某事。,用在动词后，表示成功地完成某事。,动词；趋向动词。用在动词后，表示成功地完成某事。,这个问题你一定答得上来。,38,0,1,1.0,,,,,
18,7,1,上线,shàng//xiàn,shàngxiàn,"<entry id=""45148""><hwg><hw>上线<sup>1</sup></hw><pinyin>shàng//xiàn</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 把问题上升到政治路线的高度：<ex>上纲～。</ex></def><def><num>❷</num> 达到录取分数线：<ex>他差3分没～。</ex></def><def><num>❸</num> 网站等开始运营，接入互联网。有时也指上网：<ex>购物网今日正式～。</ex></def>",动词。,动词,把问题上升到政治路线的高度。,把问题上升到政治路线的高度。,动词。把问题上升到政治路线的高度。,上纲上线。,24,0,1,1.0,,,,,
19,7,2,上线,shàng//xiàn,shàngxiàn,"<entry id=""45148""><hwg><hw>上线<sup>1</sup></hw><pinyin>shàng//xiàn</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 把问题上升到政治路线的高度：<ex>上纲～。</ex></def><def><num>❷</num> 达到录取分数线：<ex>他差3分没～。</ex></def><def><num>❸</num> 网站等开始运营，接入互联网。有时也指上网：<ex>购物网今日正式～。</ex></def>",动词。,动词,达到录取分数线。,达到录取分数线。,动词。达到录取分数线。,他差3分没上线。,20,0,1,1.0,,,,,
20,7,3,上线,shàng//xiàn,shàngxiàn,"<entry id=""45148""><hwg><hw>上线<sup>1</sup></hw><pinyin>shàng//xiàn</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 把问题上升到政治路线的高度：<ex>上纲～。</ex></def><def><num>❷</num> 达到录取分数线：<ex>他差3分没～。</ex></def><def><num>❸</num> 网站等开始运营，接入互联网。有时也指上网：<ex>购物网今日正式～。</ex></def>",动词。,动词,网站等开始运营，接入互联网。有时也指上网。,网站等开始运营，接入互联网。有时也指上网。,动词。网站等开始运营，接入互联网。有时也指上网。,购物网今日正式上线。,36,0,1,1.0,,,,,
21,7,4,上线,shàngxiàn,shàngxiàn,"<entry id=""45149""><hwg><hw>上线<sup>2</sup></hw><pinyin>shàngxiàn</pinyin></hwg><def><ps>名</ps>上一级联络人（跟“<a href=""entry://下线"">下线</a>”相对）：<ex>与～取得联系。</ex></def>",名词。,名词,上一级联络人（跟“下线”相对）。,上一级联络人（跟“下线”相对）。,名词。上一级联络人（跟“下线”相对）。,与上线取得联系。,29,0,0,1.0,,,,,
