subject,file,stimuli_order,item_id,headword,meaning,example,Response,RT_ms
19,cleaned_10a,1,122,使得,动词。能行；可以。,这个主意倒使得。,7,8575.999999994034
19,cleaned_10a,2,385,字号,名词。商店的名称。,这家商店是什么字号？,7,6205.399999991059
19,cleaned_10a,3,12,上头,名词；方位词。上面。,当心上头东西砸下来。,3,3058.100000002974
19,cleaned_10a,4,927,蒙药,名词。〈口语〉指麻醉药。,在手术中，医生使用了蒙药来确保患者能够无痛地度过手术过程。,7,2673.70000000298
19,cleaned_10a,5,277,哑然,形容词。〈书面语〉形容笑声。,哑然失笑。,7,2713.400000002992
19,cleaned_10a,6,23,上色,动词。（在图画、工艺美术品等上面）加颜色。,地图的轮廓已经画好，还没上色。,2,3158.699999994045
19,cleaned_10a,7,981,起来,动词；趋向动词。用在动词或形容词后，表示动作或情况开始并且继续。,一句话把屋子里的人都逗得大笑起来。,3,4130.899999991059
19,cleaned_10a,8,301,地下,形容词；属性词。秘密活动的；不公开的。,地下工作。,6,4016
19,cleaned_10a,9,480,引种,动词。把别的地区的动植物优良品种引入本地区，选择适于本地区条件的加以繁殖推广。,考虑到当地的气候和土壤条件，专家们精心挑选了一批适合引种的作物。,7,2446.900000002992
19,cleaned_10a,10,393,家居,动词。没有就业，在家里闲住。,他常常失业家居。,7,4301.599999997008
19,cleaned_10a,11,810,生地,名词。生荒地。,这片生地蕴含着丰富的肥力，非常适合农作物的种植。,7,3525.600000000006
19,cleaned_10a,12,884,翻腾,动词。在空中做翻转身体的动作。,向内翻腾两周半后稳稳落地。,6,3285.900000002992
19,cleaned_10a,13,44,下手,名词。助手。,打下手。,5,2092.29999999702
19,cleaned_10a,14,30,上身,名词。身体的上半部。,他上身只穿一件衬衫。,3,2710.999999994034
19,cleaned_10a,15,180,切口,名词。做手术时在皮肤上拉的口子。,术后切口愈合良好。,5,4556.600000000006
19,cleaned_10a,16,231,口轻,形容词。指人爱吃味道淡一些的饮食。,他口轻，不喜欢吃太咸的东西。,7,1766.399999999994
19,cleaned_10a,17,1042,避讳,动词。封建时代为了维护等级制度的尊严，说话写文章时遇到君主或尊亲的名字都不直接说出或写出，叫作避讳。,始皇名政，别人一定要避讳。,6,4353.599999997008
19,cleaned_10a,18,679,正当,形容词。（人品）端正。,你那个东家不是个正当的商人。,5,2542.400000002992
19,cleaned_10a,19,515,成数,名词。不带零头的整数，如五十、二百、三千等。,我们已写了知单去知会各同窗的朋友，多少大家集个成数出来。,7,6653.099999991071
19,cleaned_10a,20,178,切口,名词。书页裁切后各边留下的空白处。,他喜欢在书本的切口处做笔记。,7,12681.29999999999
19,cleaned_10a,21,223,受累,动词。受到劳累；消耗精神气力（也常用作客气话）。,这么远来看我，让您受累了。,5,2701.999999991065
19,cleaned_10a,22,640,暖房,动词。温居，指亲友迁入新居后前去祝贺。,今天去大伯家暖房。,6,5840.399999994028
19,cleaned_10a,23,505,恰恰,名词。拉丁舞的一种，源于墨西哥。4/4拍，舞曲节奏轻快，胯部摆动明显，舞姿诙谐风趣。［英cha-cha］,周末晚上，我和朋友们一起去学习恰恰舞，感觉既有趣又能锻炼身体。,5,1826.100000000006
19,cleaned_10a,24,197,华胄,名词。〈书面语〉贵族的后裔。,衣冠华胄。,7,1968.999999997031
19,cleaned_10a,25,189,劈刀,名词。用军刀劈杀的技术。,为了掌握劈刀，士兵们日复一日地进行训练。,5,4850.600000002974
19,cleaned_10a,26,977,起来,动词。由躺、卧而坐，由坐、跪而站。,你起来，让老太太坐下。,1,4133.29999999702
19,cleaned_10a,27,809,生地,名词。陌生的地方。,乍到生地，两眼一抹黑。,7,6921.700000000012
19,cleaned_10a,28,420,小曲,名词。酿造白酒、黄酒或江米酒用的一种曲，块儿比大曲小。也叫酒药。,酿造黄酒时，需要加入一种特殊的小曲，它的块儿比大曲小，但却能够引导糖化和发酵过程，使黄酒具有独特的风味。,7,2524.499999991065
19,cleaned_10a,29,689,死信,名词。人死了的消息。,死信传来，全家悲恸欲绝。,6,4004.300000002986
19,cleaned_10a,30,376,好事,形容词。好管闲事；喜欢多事。,好事之徒。,5,2441.100000003004
19,cleaned_10a,31,1093,颠连,形容词。〈书面语〉困苦。,颠连无告。,7,2463.900000000023
19,cleaned_10a,32,581,授命,动词。下命令（多指某些国家的元首下命令）。,总统授命总理组阁。,6,3628.499999991036
19,cleaned_10a,33,563,抽水,动词。用水泵吸水。,农民们用抽水机从河里抽水灌溉农田。,4,3491.199999991048
19,cleaned_10a,34,75,世故,形容词。（处事待人）圆滑，不得罪人。,这人有些世故，不大愿意给人提意见。,6,3423.599999997008
19,cleaned_10a,35,821,用心,形容词。集中注意力；多用心力。,用心听讲。,3,3171.5
19,cleaned_10a,36,1055,重责,动词。严厉斥责或责罚。,因工作失职，受到重责。,5,2084.899999994028
19,cleaned_10a,37,766,点种,动词。点播。,农民们按照计划，在田地里精心点种着各种农作物的种子。,7,3091.199999997043
19,cleaned_10a,38,800,犄角,名词。〈口语〉角。,牛犄角。,5,2044.400000000023
19,cleaned_10a,39,443,干将,名词。能干的或敢干的人。,得力干将。,5,3115.499999994063
19,cleaned_10a,40,858,立地,名词。林业上指树木生长的地方和气候、水文等条件。,立地不同，树木的生长就有差异。,7,5888.700000000012
19,cleaned_10a,41,394,家居,名词。指家庭居室。,家居陈设。,3,4323.099999991071
19,cleaned_10a,42,801,狂劲,名词。张狂的劲头。,足球运动员的年身价，借着球迷的狂劲扶摇直上。,5,3490.999999994063
19,cleaned_10a,43,338,大号,形容词；属性词。型号较大的。,大号皮鞋。,2,2678.399999994028
19,cleaned_10a,44,696,民调,动词。民事调解。,社区民调治安委员会。,7,2098.600000003004
19,cleaned_10a,45,300,地下,名词。地面之下；地层内部。,地下商场。,2,3336.999999991036
